Datei,Dekade,Freq
343014,1600,12225
343016,1640,14402
343019,1630,8755
345804,1600,13334
346672,1640,59849
347551,1650,13588
353337,1680,17678
353338,1670,12159
354492,1670,8128
354492a,1670,12452
354492b,1670,5185
354493,1660,10356
354494,1660,6797
354499,1650,23033
354511,1670,10354
354515,1650,11249
354516,1650,17451
354521,1660,12728
354522,1660,19168
354523,1670,17563
354524,1680,13745
354525,1660,6915
354527,1670,9903
354528,1670,6800
354531,1660,7376
354532,1660,12625
357469,1600,41697
358654,1720,15913
358766,1620,6513
358773,1670,22444
358833,1680,30402
359520,1690,22149
359521,1690,15842
359522,1690,12969
359996,1640,11929
359997,1640,11400
360000,1650,13925
360001,1640,15247
360002,1640,13285
360149,1710,22132
360150,1710,5846
360155,1660,27310
360156,1670,28029
360677,1650,27404
360685,1640,24411
360686,1640,9226
360994,1640,24362
361724,1640,16321
376914,1720,19817
378827,1610,6386
385104,1610,8603
386098,1610,8581
386412,1630,11069
386414,1630,17668
386420,1630,15913
386421,1630,7686
386427,1640,19254
386596,1740,12842
387513,1620,14434
389173,1650,14842
389840,1630,11355
392437,1710,23992
392438,1700,20413
392439,1710,20250
392455,1700,15034
395371,1600,9379
395372,1600,8349
395595,1610,5773
409693,1630,18879
421583,1700,10852
508113,1600,13725
508123,1610,8391
508137,1620,26293
508138,1620,9761
508139,1670,15996
508142,1630,14262
508143,1630,7780
508146,1620,9309
508193,1610,14367
508214,1630,7081
508231,1630,8821
508236,1620,9066
508258,1640,7682
508269,1610,27294
508270,1610,12001
508271,1630,13367
508272,1630,7221
508299,1630,20381
508305,1620,14275
508321,1670,20012
508436,1620,15869
508438,1620,8593
508439,1610,11006
508440,1620,7426
508442,1600,9909
508444,1610,17526
508445,1640,20150
508450,1570,7539
508451,1620,11120
508452,1670,7937
508578,1740,27263
508611,1610,8620
508612,1670,26919
508615,1610,8880
509199,1620,11896
509200,1630,16642
509201,1610,11596
509340,1640,11213
509342,1650,13540
509343,1610,10622
509377,1610,7964
509378,1610,8170
509379,1660,19938
509380,1660,13684
509390,1600,8184
509393,1620,11866
509545,1620,9284
509925,1610,11169
509926,1630,10530
509941,1640,8943
509946,1600,6960
509956,1620,23754
509966,1610,13283
509967,1620,11156
509974,1610,13408
509978,1690,23986
510287,1610,11662
510288,1600,13827
510291,1610,7750
510300,1620,8770
510301,1630,14485
510575,1610,6451
510581,1610,12459
510585,1610,10105
510589,1610,15687
510772,1620,5111
510775,1630,5587
510778,1630,5394
510780,1630,5357
510784,1630,10642
510799,1630,6408
510964,1620,15275
510973,1610,9827
510974,1670,18878
511301,1670,22754
511316,1630,11299
511317,1630,21128
511318,1610,8698
511517,1580,7207
511524,1580,16126
511528,1590,10415
511531,1580,14617
511792,1620,17358
511793,1620,19019
511795,1630,16539
511796,1630,20338
522222,1580,8475
522325,1620,10216
522328,1620,9638
522329,1620,6249
522372,1620,6944
522379,1620,10714
522392,1620,21902
522407,1630,13372
522410,1630,9220
522423,1620,8035
522424,1620,18128
522877,1600,7360
522967,1590,7005
523022,1600,12489
523023,1600,12225
523530,1610,13553
523531,1610,10046
523537,1610,7573
523539,1610,15957
523540,1610,14499
523541,1610,20517
523543,1610,44126
523547,1610,8684
523566,1610,8818
523570,1630,13009
523581,1620,7127
523586,1630,23871
523587,1630,9538
523588,1630,8206
523592,1610,22593
523595,1600,15913
523602,1610,17553
523604,1610,9838
523606,1610,9217
523607,1610,15813
523612,1610,11055
523615,1610,6077
523616,1610,16846
523619,1610,19821
523619a,1610,10801
523629,1600,20924
523641,1610,6333
523650,1610,14563
523652,1610,5836
523661,1610,12012
523683,1610,17328
523692,1610,9137
523696,1610,9137
523698,1600,25221
523706,1610,12199
523741,1630,5852
523762,1630,12836
523764,1630,25717
523825,1610,15361
523832,1610,6799
523834,1610,8360
523843,1610,12540
523844,1610,11488
523847,1610,8999
523849,1610,10259
523883,1620,8643
523884,1620,10410
523885,1620,6504
523898,1610,11012
523907,1610,10350
523920,1610,13828
523923,1610,16738
523924,1610,12421
523927,1610,8145
523939,1620,10445
523942,1620,12028
523943,1620,11334
523945,1620,15561
523947,1620,8028
523949,1620,10013
523954,1620,11379
524107,1610,7889
524109,1610,10986
524151,1580,12930
524261,1610,12951
524263,1610,22027
524265,1610,8235
524271,1610,14051
524279,1580,26655
524291,1580,19365
524292,1580,7242
524295,1580,19977
524311,1580,21936
524370,1610,15392
524393,1610,5057
524394,1610,21091
524470,1590,8375
524472,1590,11041
524558,1590,6202
524559,1610,8722
524569,1610,7596
524575,1610,22177
524584,1610,14284
524586,1610,6951
524794,1610,8970
524801,1620,9713
524823,1630,14662
524824,1630,7011
524965,1610,11950
524988,1610,14191
524989,1610,19292
524994,1610,14126
525066,1620,10222
525077,1620,10908
525080,1620,7423
525853,1600,8715
526001,1610,16794
526006,1610,8966
526011,1610,12385
526022,1610,14008
526037,1610,8762
526976,1600,7499
527001,1620,21871
527017,1610,10927
527026,1610,16786
527028,1610,16941
527038,1610,23165
527796,1560,13554
527798,1560,17045
528095,1590,11533
537788,1640,25386
537789,1650,13734
537790,1650,10000
539213,1590,16584
539478,1630,19673
539562,1670,19611
539564,1660,14654
542013,1670,20562
542123,1610,19121
542451,1730,27774
542452,1730,7323
542550,1600,21585
abel_leibmedicus_1699,1690,58015
abschatz_gedichte_1704,1700,191382
achenwall_staatswissenschaft_1749,1740,66062
adams_elektricitaet_1785,1780,82649
adler_frauen_1906,1900,99338
adler_studie_1907,1900,35835
albertinus_landtstoertzer01_1615,1610,130623
alexis_ruhe01_1852,1850,88845
alexis_ruhe02_1852,1850,82928
alexis_ruhe03_1852,1850,78217
alexis_ruhe04_1852,1850,88810
alexis_ruhe05_1852,1850,98092
alexis_sacken_1910,1910,27573
altenberg_prodromos_1906,1900,38846
altmann_elementarorganismen_1890,1890,48622
andreas_erotik_1910,1910,18223
andreas_fenitschka_1898,1890,45147
anhaltkoethen_fruchtbringende_1628,1620,15533
anonym_annus_1597,1590,48396
anonym_aviso_1609,1600,119845
anonym_fuehrer_1921,1920,75382
anonym_relation_1609,1600,105119
anthus_esskunst_1838,1830,86811
anzengruber_gwissenswurm_1874,1870,23535
arends_exter_1708,1700,30194
arent_dichtercharaktere_1885,1880,74683
arndt_christentum01_1610,1610,91541
arndt_christentum02_1610,1610,133315
arndt_christentum03_1610,1610,34700
arndt_christentum04_1610,1610,58620
arnima_invalide_1818,1810,9120
arnimb_goethe01_1835,1830,82056
arnimb_goethe02_1835,1830,70877
arnimb_goethe03_1835,1830,53494
arnimb_guenderode01_1840,1840,100657
arnimb_guenderode02_1840,1840,70251
arnim_invalide_1910,1870,10358
arnim_wunderhorn01_1806,1800,83317
arnim_wunderhorn02_1808,1800,80151
arnim_wunderhorn03_1808,1800,57359
arnold_cyprian_1700,1700,44430
arnold_ketzerhistorie02_1700,1700,1271416
arrhenius_planeten_1911,1910,13274
aston_emancipation_1846,1840,8022
aston_leben_1847,1840,27907
avelallemant_gaunerthum01_1858,1850,102490
avelallemant_gaunerthum02_1858,1850,139542
avelallemant_gaunerthum03_1862,1860,163527
avelallemant_gaunerthum04_1862,1860,248611
bachstrom_schwimmen_1742,1740,15051
bach_versuch01_1759,1750,37765
bach_versuch02_1762,1760,61028
bacmeister_predigt_1614,1610,14370
baer_thiere_1828,1820,126736
baer_thiere_1837,1830,149260
bakunin_aufruf_1848,1840,9252
ball_intelligenz_1919,1910,111522
barclay_argenis_1626,1620,258338
basedow_philanthropinum_1774,1770,28132
basedow_weisheit_1768,1760,39196
basteln_kichote_1648,1640,92467
bastian_voelkergedanke_1881,1880,81778
bauer_buehnenleben_1871,1870,118296
bauller_lasterspiegel_1681,1680,600328
baumstark_encyclopaedie_1835,1830,405852
becher_discurs_1668,1660,59753
becher_narrheit_1682,1680,38761
becher_psychosophia_1683,1680,92066
bechstein_dunkelgraf_1854,1850,182389
becker_arbeiter_1860,1860,24331
beckmann_technologie_1777,1770,107983
beck_eisen01_1884,1880,417744
beck_eisen02_1895,1890,532559
beck_eisen03_1897,1890,459534
beck_eisen04_1899,1890,350191
beck_eisen05_1903,1900,387828
beer_antonius_1697,1690,7858
beer_europa_1682,1680,48732
beer_lebensbeschreibung_1680,1680,38731
beer_nero_1685,1680,9934
beer_paria_1829,1820,8499
behrens_hercynia_1703,1700,73891
beier_buchhandel_1690,1690,14130
bengel_abriss01_1751,1750,68326
benner_herrnhuterey01_1746,1740,38982
benner_herrnhuterey02_1747,1740,50772
benner_herrnhuterey03_1748,1740,56747
benner_herrnhuterey04_1748,1740,40120
benner_meineid_1739,1730,12044
bergmann_transfusion_1883,1880,7145
berg_ostasien01_1864,1860,142469
berg_ostasien02_1866,1860,135824
berg_ostasien03_1873,1870,164402
berg_ostasien04_1873,1870,158945
berg_ostasienbotanik_1866,1860,27963
berg_ostasienzoologie01_1876,1870,146708
berg_ostasienzoologie02_1867,1860,161683
berlepsch_alpen_1861,1860,135210
berlin_wortblindheit_1887,1880,21910
bernd_lebensbeschreibung_1738,1730,182591
bernoulli_comet_1681,1680,8238
berthold_irrwischfritze_1910,1910,30708
beseler_kommentar_1851,1850,260630
beseler_volksrecht_1843,1840,98509
bierbaum_stilpe_1897,1890,73136
birken_friedensvergleich_1652,1650,55370
birken_gespraechspiel_1665,1660,22814
birken_sonntagswandel_1681,1680,154878
bismarck_erinnerungen01_1898,1890,124513
bismarck_erinnerungen02_1898,1890,100197
blumenbach_anatomie2_1805,1800,73530
blumenbach_anatomie_1805,1800,73429
blumenbach_anatomie_1815,1810,77061
blumenbach_anatomie_1824,1820,81909
blumenbach_beytraege0101_1790,1790,16009
blumenbach_beytraege0102_1806,1800,16475
blumenbach_beytraege02_1811,1810,16190
blumenbach_bildungstrieb_1781,1780,10791
blumenbach_bildungstrieb_1789,1780,13403
blumenbach_bildungstrieb_1791,1790,13867
blumenbach_menschengeschlecht_1798,1790,71924
blumenbach_naturgeschichte_1814,1810,174367
blumenbach_naturgeschichte_1815,1810,175317
blum_spatziergaenge01_1774,1770,31776
blum_spatziergaenge02_1775,1770,33159
bluntschli_staatslehre_1875,1870,194548
bluntschli_voelkerrecht_1868,1860,186385
bodmer_sammlung01_1741,1740,45263
bodmer_sammlung02_1741,1740,46365
bodmer_sammlung03_1742,1740,56760
bodmer_sammlung04_1742,1740,22696
bodmer_sammlung05_1742,1740,24999
bodmer_sammlung06_1742,1740,33982
bodmer_sammlung07_1743,1740,22017
bodmer_sammlung08_1743,1740,22458
bodmer_sammlung09_1743,1740,26149
bodmer_sammlung10_1743,1740,31950
bodmer_sammlung11_1743,1740,20971
bodmer_sammlung12_1744,1740,21558
boeheim_waffenkunde_1890,1890,191610
boehmemi_viehartzney_1712,1710,11979
boelsche_liebesleben01_1898,1890,128043
boelsche_liebesleben02_1900,1900,121974
boelsche_liebesleben03_1903,1900,118407
boerne_paris01_1832,1830,46746
boerne_paris02_1832,1830,44919
boerne_paris03_1833,1830,47530
boerne_paris04_1833,1830,56335
boerne_paris05_1834,1830,44112
boerne_paris06_1834,1830,44806
boettiger_predigt_1652,1650,11602
bohse_helicon_1696,1690,127249
boltzmann_gastheorie01_1896,1890,62536
boltzmann_gastheorie02_1898,1890,85077
bose_electricitaet_1744,1740,8361
bossmann_gvinea_1708,1700,160650
braeker_lebensgeschichte_1789,1780,82619
braeuner_pest_1714,1710,90565
brandes_naturlehre01_1830,1830,143363
brandes_naturlehre02_1831,1830,141317
brandes_naturlehre03_1832,1830,201546
braun_vagabundenfrage_1883,1880,11876
brehm_thierleben01_1864,1860,488979
brehm_thierleben02_1865,1860,591236
brehm_thierleben03_1866,1860,628434
brehm_thierleben04_1867,1860,676096
brehm_thierleben05_1869,1860,510591
brehm_thierleben06_1869,1860,686261
bremscheid_mann_1901,1900,62013
brentano_annerl_1910,1870,15178
brentano_gockel_1838,1830,117786
brentano_kasperl_1838,1830,14734
brockes_vergnuegen02_1727,1720,115083
brockes_vergnuegen03_1730,1730,148880
brockes_vergnuegen04_1735,1730,109513
brockes_vergnuegen05_1736,1730,97738
brockes_vergnuegen06_1740,1740,152364
brockes_vergnuegen07_1743,1740,140118
brockes_vergnuegen08_1746,1740,117072
brockes_vergnuegen09_1748,1740,115865
bruce_reisen_1784,1780,151686
bruemmer_lexikon01_1913,1910,316427
bruemmer_lexikon02_1913,1910,317271
bruemmer_lexikon03_1913,1910,319591
bruemmer_lexikon04_1913,1910,317969
bruemmer_lexikon05_1913,1910,316620
bruemmer_lexikon06_1913,1910,312842
bruemmer_lexikon07_1913,1910,317417
bruemmer_lexikon08_1913,1910,180928
brunfels_apodixis_1531,1530,13693
brunner_rechtsgeschichte01_1887,1880,191132
brunner_rechtsgeschichte02_1892,1890,332563
brunn_griechen01_1853,1850,233894
brunn_griechen0201_1856,1850,158032
brunn_griechen02_1859,1850,311573
bucer_dialogus_1521,1520,8164
buchholtz_herkules01_1659,1650,631038
buchholtz_herkules02_1660,1660,602621
buchner_theoria01_1682,1680,52660
buchner_theoria02_1683,1680,54644
buchner_theoria03_1685,1680,30404
buecher_volkswirtschaft_1893,1890,68588
buechner_danton_1835,1830,28104
buechner_kraft_1855,1850,58025
buechner_werke_1879,1870,172925
buerger_candidatus_1692,1690,111157
buerger_gedichte_1778,1770,46758
buerger_muenchhausen_1786,1780,16349
buesch_handlung01_1792,1790,67824
buesch_handlung02_1792,1790,82702
burckhardt_cicerone_1855,1850,401389
burckhardt_renaissance_1860,1860,186930
burdach_propaedeutik_1800,1800,55728
burdel_trunksucht_1855,1850,31510
buri_causalitaet_1873,1870,45834
butschky_kantzeley_1649,1650,83797
calvi_beutelschneider01_1627,1620,88521
calvi_beutelschneider02_1627,1620,96502
campe_robinson01_1779,1770,53328
campe_robinson02_1780,1780,63742
campe_theophron01_1783,1780,49605
campe_theophron02_1783,1780,34949
cancrin_beschreibung_1767,1760,184761
candidus_christus_1854,1850,16186
canitz_gedichte_1700,1700,28468
cantemir_geschichte_1745,1740,421030
carus_gynaekologie01_1820,1820,139242
carus_gynaekologie02_1820,1820,189578
carus_psyche_1846,1840,157067
carus_zoologie_1872,1870,275209
caselius_leichpredigt_1649,1640,12659
chamberlain_grundlagen01_1899,1890,224745
chamberlain_grundlagen02_1899,1890,219638
chamisso_schlemihl_1814,1810,25906
chladni_geschichtswissenschaft_1752,1750,109596
